"DATA","MAQUINA","INICIO","FIM","COD_MOTIVO","DESC","GRUPO","OBS"
"2026-02-05","Prensa Recorte 01","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-05","Prensa Recorte 01","12:30","13:30","TU001","Produção","TU",""
"2026-02-05","Prensa Recorte 01","12:30","13:10","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-05","Prensa Recorte 01","13:15","14:20","TU001","Produção","TU",""
"2026-02-05","Prensa Recorte 01","14:20","14:25","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-05","Prensa Recorte 01","14:25","15:10","TU001","Produção","TU",""
"2026-02-05","Prensa Recorte 01","15:10","15:15","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-05","Prensa Recorte 01","15:15","16:00","TU001","Produção","TU",""
"2026-02-05","Prensa Recorte 01","16:00","16:10","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-05","Prensa Recorte 01","16:10","16:48","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","07:00","07:10","IN038","Aguardando a entrega de EPI","IND",""
"2026-02-04","Prensa Recorte 01","07:10","08:30","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","08:30","08:50","TU004","Retirada de Material","TU",""
"2026-02-04","Prensa Recorte 01","08:50","09:30","TU001","Produção","TU",""
"2026-02-04","Prensa Recorte 01","09:30","09:35","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-23","Prensa Recorte 01","09:35","10:30","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","10:30","10:40","TU004","Retirada de Material","TU",""
"2026-02-23","Prensa Recorte 01","10:40","11:30","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-23","Prensa Recorte 01","12:30","13:10","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","13:10","13:15","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-23","Prensa Recorte 01","13:15","14:20","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","14:20","14:25","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-23","Prensa Recorte 01","14:25","15:00","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","15:00","15:05","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-23","Prensa Recorte 01","15:05","16:10","TU001","Produção","TU",""
"2026-02-23","Prensa Recorte 01","16:10","16:18","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-23","Prensa Recorte 01","16:18","16:48","TU001","Produção","TU",""
"2026-02-20","Prensa Recorte 01","07:00","07:10","IN038","Aguardando a entrega de EPI","IND",""
"2026-02-20","Prensa Recorte 01","07:10","08:10","TU001","Produção","TU",""
"2026-02-20","Prensa Recorte 01","08:10","08:15","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-20","Prensa Recorte 01","08:15","09:30","TU001","Produção","TU",""
"2026-02-20","Prensa Recorte 01","09:30","09:45","TU004","Retirada de Material","TU",""
"2026-02-20","Prensa Recorte 01","09:45","10:30","TU001","Produção","TU",""
"2026-02-20","Prensa Recorte 01","10:30","11:30","IN033","Revezamento","IND",""
"2026-02-20","Prensa Recorte 01","11:30","12:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2026-02-20","Prensa Recorte 01","12:30","13:10","TU001","Produção","TU",""
"2026-02-20","Prensa Recorte 01","14:00","14:05","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-20","Prensa Recorte 01","14:05","15:15","TU001","Produção","TU",""
"2026-02-20","Prensa Recorte 01","15:15","15:20","TU002","Carregamento de bobina/matéria prima","IND",""
"2026-02-20","Prensa Recorte 01","15:20","15:50","TU001","Produção","TU",""
"2026-02-20","Prensa Recorte 01","15:50","16:00","IN016","Falta de colaborador","IND",""
