"DATA","MAQUINA","CODIGO","QTD","DESCRICAO","DESTINO","COMP","PESO_TOTAL"
"2026-03-06","Perf. Telha Trapezoidal Marafon","02008","100","TELHA GALVALUME TP 40 0,43MM 8,00M","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02005","100","TELHA GALVALUME TP 40 0,43MM 5,00M","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02005","100","TELHA GALVALUME TP 40 0,43MM 5,00M","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02007","100","TELHA GALVALUME TP 40 0,43MM 7,00M","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02000","134","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02014","6","TELHA GALVALUME OND 17 0,43MM 4,00M","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02013","10","TELHA GALVALUME OND 17 0,43MM 3,00M","Estoque","",""
"2026-03-06","Perf. Telha Trapezoidal Marafon","02000","26","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
"2026-03-03","Rodadeira 03","81667","1000","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-03","Rodadeira 03","81667","600","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-03","Rodadeira 03","81053","200","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-03-03","Rodadeira 03","81667","900","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-05","Rodadeira 01","81627","740","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-04","Prensa Debrum 03","81627","1875","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-05","Prensa Debrum 03","81627","2000","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-04","Prensa Estampa 09","81667","1160","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-05","Prensa Estampa 09","81667","1221","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-04","Rodadeira 01","81627","700","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-04","Rodadeira 01","81627","1126","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-04","Rodadeira 01","81627","1100","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-04","Prensa Recorte 01","81627","2000","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-03","Prensa Recorte 01","81627","1501","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-09","Perf. Telha Trapezoidal Marafon","02000","57","TELHA GALVALUME TP 40 0,43MM","Estoque","",""
"2026-03-09","Perf. Telha Ondulada V8","02007","7","TELHA GALVALUME TP 40 0,43MM 7,00M","Estoque","",""
"2026-03-09","Perf. Telha Ondulada V8","02003","3","TELHA GALVALUME TP 40 0,43MM 3,00M","Estoque","",""
"2026-03-09","Perf. Telha Ondulada V8","02020","11","TELHA CUMEEIRA GL TRAP 40 ABAS 300MM","Estoque","",""
"2026-03-09","Perf. Telha Ondulada V8","02006","69","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-06","Rodadeira 02","81627","1200","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-09","Rodadeira 02","81627","1034","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-09","Rodadeira 02","81626","161","CACAMBA M 40 POP","Estoque","",""
"2026-03-06","Prensa Recorte 01","81627","1650","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-09","Prensa Debrum 03","81627","1850","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-06","Prensa Debrum 03","81627","1450","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-09","Rodadeira 03","81667","1100","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-06","Rodadeira 03","81053","100","CACAMBA M 40 CONSTRUTOR","Estoque","",""
"2026-03-06","Rodadeira 03","81667","800","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-06","Prensa Recorte 02","81667","2000","CACAMBA M 40 CONST GALV","Estoque","",""
"2026-03-05","Prensa Recorte 02","81627","800","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-06","Rodadeira 01","81627","341","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-09","Rodadeira 01","81627","750","CACAMBA M 40 POP GALV","Estoque","",""
"2026-03-11","Perfil ""U"" ZL","00672B","114","PERFIL UE 100X50X17X2,00","Estoque","",""
"2026-03-11","Perf. Telha Trapezoidal Marafon","02008","50","TELHA GALVALUME TP 40 0,43MM 8,00M","Estoque","",""
"2026-03-11","Perf. Telha Trapezoidal Marafon","02006","200","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-11","Perf. Telha Trapezoidal Marafon","02005","100","TELHA GALVALUME TP 40 0,43MM 5,00M","Estoque","",""
"2026-03-11","Perf. Telha Trapezoidal Marafon","02004","100","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02005","300","TELHA GALVALUME TP 40 0,43MM 5,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02007","100","TELHA GALVALUME TP 40 0,43MM 7,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02006","200","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02004","100","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02006","400","TELHA GALVALUME TP 40 0,43MM 6,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02004","201","TELHA GALVALUME TP 40 0,43MM 4,00M","Estoque","",""
"2026-03-13","Perf. Telha Trapezoidal Marafon","02003","100","TELHA GALVALUME TP 40 0,43MM 3,00M","Estoque","",""
